model_name;seed;gridSearch;value
gmm;1;False;0.2700900300100033
gmm;1;True;0.26942314104701565
decisiontree;1;False;0.33377792597532513
decisiontree;1;True;0.3644548182727576
gmm;2;False;0.27675891963988
gmm;2;True;0.20606868956318772
decisiontree;2;False;0.31710570190063353
decisiontree;2;True;0.3601200400133378
gmm;3;False;0.2247415805268423
gmm;3;True;0.2894298099366455
decisiontree;3;False;0.324108036012004
decisiontree;3;True;0.37079026342114035
gmm;4;False;0.23574524841613873
gmm;4;True;0.09803267755918639
decisiontree;4;False;0.33744581527175727
decisiontree;4;True;0.3567855951983995
